iter	Passed	Remaining
210	60151	224928
211	60447	224681
212	60737	224416
213	61065	224285
214	61370	224074
215	61710	223984
216	62071	223971
217	62395	223823
218	62588	223203
219	62869	222899
220	63138	222554
221	63406	222208
222	63741	222095
223	64080	221991
224	64358	221677
225	64630	221344
226	64916	221058
227	65262	220977
228	65581	220799
229	65912	220665
230	66217	220438
231	66370	219707
232	66681	219504
233	66976	219247
234	67225	218839
235	67700	219164
236	67986	218875
237	68294	218656
238	68739	218872
239	69039	218625
240	69325	218331
241	69579	217937
242	69874	217675
243	70130	217289
244	70400	216949
245	70667	216598
246	70926	216225
247	71226	215976
248	71483	215599
249	71822	215467
250	72217	215502
251	72478	215135
252	72682	214598
253	72951	214259
254	73179	213798
255	73418	213371
256	73735	213173
257	74005	212836
258	74299	212569
259	74579	212265
260	74866	211977
261	75131	211629
262	75370	211210
263	75647	210897
264	75897	210507
265	76167	210175
266	76427	209816
267	76679	209437
268	77097	209510
269	77347	209125
270	77595	208735
271	77888	208465
272	78179	208192
273	78449	207863
274	78739	207586
275	79031	207314
276	79350	207112
277	79637	206829
278	79905	206493
279	80170	206152
280	80462	205879
281	80818	205771
282	81257	205870
283	81526	205539
284	81768	205137
285	82038	204810
286	82334	204545
287	82600	204207
288	82856	203843
289	83089	203425
290	83372	203129
291	83646	202814
292	83896	202440
293	84135	202038
294	84386	201669
295	84622	201263
296	85168	201593
297	85564	201563
298	85878	201340
299	86220	201181
300	86596	201099
301	86989	201054
302	87346	200926
303	87723	200840
304	87992	200508
305	88301	200266
306	88589	199974
307	88832	199584
308	89115	199284
309	89346	198868
310	89569	198435
311	89852	198135
312	90086	197729
313	90327	197338
314	90569	196952
315	90829	196605
316	91081	196242
317	91300	195807
318	91573	195491
319	91881	195247
320	92191	195010
321	92489	194744
322	92775	194455
323	93074	194192
324	93619	194439
325	93890	194116
326	94102	193673
327	94363	193329
328	94637	193014
329	94969	192817
330	95267	192549
331	95536	192223
332	95819	191927
333	96096	191617
334	96338	191238
335	96593	190887
336	96858	190556
337	97133	190242
338	97397	189910
339	97674	189603
340	98029	189446
341	98254	189038
342	98615	188892
343	98888	188578
344	99239	188411
345	99656	188368
346	100283	188718
347	100589	188460
348	100882	188178
349	101196	187936
350	101593	187846
351	101874	187540
352	102155	187236
353	102457	186970
354	102699	186594
355	102911	186166
356	103291	186040
357	103582	185754
358	103830	185390
359	104058	184993
360	104335	184682
361	104631	184406
362	104926	184127
363	105214	183836
364	105440	183437
365	105686	183073
366	105905	182666
367	106159	182317
368	106385	181922
369	106680	181644
370	106979	181375
371	107251	181058
372	107533	180759
373	107918	180633
374	108258	180430
375	108575	180188
376	108906	179970
377	109352	179939
378	109902	180078
379	110431	180177
380	111009	180353
381	111362	180162
382	111681	179914
383	111994	179657
384	112258	179322
385	112505	178958
386	112801	178674
387	113098	178391
388	113366	178064
389	113704	177845
390	113985	177537
391	114244	177195
392	114540	176911
393	114850	176648
394	115220	176477
395	115487	176147
396	115801	175889
397	116120	175639
398	116420	175360
